user_id,country,total_interactions,num_products_interacted,avg_rating_given,most_common_interaction,count_click,count_purchase,count_view,count_wishlist,days_since_signup,days_since_last_interaction,account_age_days,preferred_category,avg_product_price,engagement_score
1,USA,6.0,6.0,4.166666666666667,click,2.0,2.0,2.0,0.0,154,0.0,154,Books,355.7151108012055,0.42857142857142855
2,USA,6.0,6.0,3.1666666666666665,view,0.0,1.0,4.0,1.0,154,0.0,154,Electronics,220.21752449349728,0.42857142857142855
3,USA,5.0,5.0,3.4,view,0.0,0.0,3.0,2.0,154,0.0,154,Books,318.03508282222947,0.35714285714285715
4,UK,7.0,7.0,4.0,view,0.0,2.0,5.0,0.0,154,1.0,154,Clothing,241.20100917045647,0.5
5,Germany,7.0,7.0,3.857142857142857,view,0.0,2.0,4.0,1.0,154,0.0,154,Electronics,356.74180335902673,0.5
6,UK,11.0,11.0,3.909090909090909,view,1.0,2.0,4.0,4.0,154,0.0,154,Clothing,318.18170868540625,0.7857142857142857
7,India,8.0,8.0,4.0,view,2.0,1.0,5.0,0.0,154,1.0,154,Books,223.03570710660046,0.5714285714285714
8,Germany,6.0,6.0,4.5,view,1.0,0.0,5.0,0.0,154,1.0,154,Books,164.0471852138796,0.42857142857142855
9,UK,1.0,1.0,4.0,click,1.0,0.0,0.0,0.0,154,2.0,154,Electronics,86.27951858847997,0.07142857142857142
10,USA,6.0,6.0,1.6666666666666667,click,3.0,1.0,2.0,0.0,154,0.0,154,Sports,331.0422517017926,0.42857142857142855
11,UK,6.0,6.0,3.8333333333333335,view,2.0,1.0,3.0,0.0,154,0.0,154,Clothing,276.4532544605476,0.42857142857142855
12,USA,4.0,4.0,3.75,view,0.0,0.0,3.0,1.0,154,0.0,154,Home,336.7775842993124,0.2857142857142857
13,India,6.0,6.0,3.3333333333333335,click,3.0,1.0,2.0,0.0,153,0.0,153,Clothing,195.74678438170244,0.42857142857142855
14,Canada,2.0,2.0,4.5,view,0.0,0.0,1.0,1.0,153,0.0,153,Clothing,398.01440875883486,0.14285714285714285
15,Canada,10.0,10.0,3.6,view,1.0,3.0,5.0,1.0,153,0.0,153,Electronics,256.8265861292464,0.7142857142857143
16,UK,6.0,6.0,4.166666666666667,purchase,2.0,4.0,0.0,0.0,153,1.0,153,Books,323.7489581773594,0.42857142857142855
17,India,3.0,3.0,4.666666666666667,view,0.0,0.0,3.0,0.0,153,0.0,153,Books,228.8585849243319,0.21428571428571427
18,Germany,4.0,4.0,2.75,view,0.0,0.0,4.0,0.0,153,0.0,153,Sports,209.18768930946297,0.2857142857142857
19,India,,,,,,,,,153,,153,,,
20,USA,5.0,5.0,4.0,purchase,0.0,3.0,1.0,1.0,153,0.0,153,Books,276.7609936596268,0.35714285714285715
21,UK,6.0,6.0,3.8333333333333335,click,2.0,1.0,2.0,1.0,153,1.0,153,Books,300.99372682894835,0.42857142857142855
22,India,4.0,4.0,3.5,view,0.0,1.0,3.0,0.0,153,0.0,153,Books,285.0741386255621,0.2857142857142857
23,USA,6.0,6.0,3.5,click,2.0,2.0,2.0,0.0,153,0.0,153,Electronics,330.43049384945704,0.42857142857142855
24,Germany,4.0,4.0,4.25,click,2.0,0.0,2.0,0.0,153,0.0,153,Books,248.69237475304047,0.2857142857142857
25,Germany,3.0,3.0,2.6666666666666665,purchase,0.0,1.0,1.0,1.0,153,2.0,153,Clothing,216.16304071403465,0.21428571428571427
26,USA,5.0,5.0,4.6,purchase,0.0,3.0,2.0,0.0,153,0.0,153,Sports,330.99549268230083,0.35714285714285715
27,Germany,3.0,3.0,3.3333333333333335,click,2.0,0.0,0.0,1.0,153,1.0,153,Home,154.48824749543155,0.21428571428571427
28,Canada,1.0,1.0,5.0,click,1.0,0.0,0.0,0.0,153,1.0,153,Clothing,315.931258246523,0.07142857142857142
29,Canada,6.0,6.0,4.166666666666667,click,2.0,2.0,1.0,1.0,153,0.0,153,Books,302.6138889029378,0.42857142857142855
30,USA,7.0,7.0,4.285714285714286,view,0.0,2.0,4.0,1.0,153,1.0,153,Books,250.17955138266345,0.5
31,UK,3.0,3.0,3.3333333333333335,click,1.0,1.0,1.0,0.0,153,0.0,153,Clothing,314.3494884803356,0.21428571428571427
